"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.366434596E0,-7.611938715E-1,6.991176605E-1,2.140328407E0,2.376801907E0
1.371115377E0,-6.242070198E-1,3.670926094E-1,2.634522438E0,2.732233494E0
1.375796159E0,-5.017150640E-1,1.966524124E-2,3.036845207E0,3.078073024E0
1.380476940E0,-3.586635590E-1,-3.254625797E-1,3.510078430E0,3.543334027E0
1.385157721E0,-2.321125269E-1,-6.030613184E-1,3.989847183E0,4.041836182E0
1.389838502E0,-1.350588799E-1,-7.815883160E-1,4.345207214E0,4.417006558E0
1.394519284E0,-9.921884537E-2,-8.889400959E-1,4.533820152E0,4.621210236E0
1.399200065E0,-1.154575348E-1,-8.835605383E-1,4.639835358E0,4.724625045E0
1.403880846E0,-2.213600874E-1,-8.405792713E-1,4.563519478E0,4.645566039E0
1.408561680E0,-3.573858738E-1,-7.824141979E-1,4.043485641E0,4.133965744E0
1.413242461E0,-4.957613945E-1,-7.542996407E-1,3.405597687E0,3.523186471E0
