"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.009282304E0,-8.616137505E-2,-2.260043621E-1,-5.820274353E-2,2.487756290E-1
1.013962877E0,-1.239008307E-1,-3.415368795E-1,-3.991127014E-3,3.633383892E-1
1.018643450E0,-1.794384718E-1,-3.543264866E-1,3.807449341E-2,3.989925956E-1
1.023323971E0,-2.456588745E-1,-3.293371201E-1,2.046203613E-2,4.113756388E-1
1.028004544E0,-3.105530739E-1,-3.265249729E-1,-3.507518768E-2,4.519867680E-1
1.032685117E0,-3.406523168E-1,-3.009303808E-1,-9.255695343E-2,4.638640800E-1
1.037365638E0,-4.027263224E-1,-2.171709538E-1,-1.733760834E-1,4.892964134E-1
1.042046211E0,-4.560349286E-1,-1.898899078E-1,-2.679071426E-1,5.619610932E-1
1.046726731E0,-4.838461280E-1,-2.170913219E-1,-3.116416931E-1,6.151067082E-1
1.051407304E0,-4.413274229E-1,-2.793284655E-1,-3.619966507E-1,6.354808108E-1
1.056087877E0,-4.501531720E-1,-2.836487293E-1,-4.451408386E-1,6.937181316E-1
1.060768398E0,-4.620109200E-1,-2.713969946E-1,-5.417757034E-1,7.619916875E-1
1.065448971E0,-5.101733804E-1,-2.258572578E-1,-6.280603409E-1,8.400881922E-1
1.070129544E0,-5.470136404E-1,-2.090841532E-1,-6.206493378E-1,8.533145413E-1
1.074810065E0,-5.253681540E-1,-1.947102547E-1,-5.842494965E-1,8.094882672E-1
1.079490638E0,-5.291507244E-1,-1.733918190E-1,-5.212917328E-1,7.627648935E-1
1.084171211E0,-5.178081989E-1,-1.453270912E-1,-4.771080017E-1,7.189418194E-1
1.088851731E0,-5.057528019E-1,-1.010489464E-1,-4.301509857E-1,6.715851820E-1
1.093532304E0,-4.597217441E-1,-5.194687843E-2,-3.352813721E-1,5.713634208E-1
1.098212877E0,-4.513529539E-1,2.056050301E-2,-2.545261383E-1,5.185805418E-1
1.102893398E0,-4.166427255E-1,5.536770821E-2,-1.427221298E-1,4.438765033E-1
1.107573971E0,-3.750034571E-1,6.268906593E-2,-4.537010193E-2,3.829046330E-1
1.112254544E0,-3.600641787E-1,9.781670570E-2,8.757019043E-2,3.832529960E-1
1.116935065E0,-3.502790034E-1,1.349608898E-1,2.319946289E-1,4.412837294E-1
1.121615638E0,-3.123244345E-1,1.579339504E-1,3.186435699E-1,4.733111131E-1
1.126296211E0,-2.581863701E-1,1.742923260E-1,3.953237534E-1,5.033079441E-1
1.130976731E0,-2.403977513E-1,1.657466888E-1,4.237604141E-1,5.146221257E-1
1.135657304E0,-1.943016350E-1,1.232099533E-1,4.374122620E-1,4.942300121E-1
1.140337825E0,-1.844505966E-1,3.061628342E-2,4.481248856E-1,4.855669804E-1
