t;acc_x;acc_y;acc_z;gyr_x;gyr_y;gyr_z;mag_x;mag_y;mag_z
1479;-0.7477571;1.1389836;13.685749;-0.4805215;-0.1339321;0.0044287695;17.75625;-24.581251;-29.868752
1489;-0.6987042;1.0947163;13.843676;-0.5434406;-0.13332124;0.026725333;18.16875;-24.581251;-29.306252
1498;-0.7070791;1.0336994;13.834105;-0.5785653;-0.075289086;0.07315106;18.150002;-24.88125;-29.1375
1507;-0.72263247;1.079163;13.649857;-0.5791762;0.045051277;0.14065161;18.206251;-25.181252;-28.612501
1517;-0.84825563;1.2406785;13.201202;-0.54130256;0.22464553;0.22372922;18.31875;-25.44375;-28.63125
1526;-0.96909314;1.4787644;12.533605;-0.4634173;0.4488329;0.32238388;18.13125;-25.368752;-28.275002
1535;-1.1042876;1.727618;11.757134;-0.3436878;0.69409513;0.43356127;18.337502;-25.518751;-28.087502
1545;-1.1425728;1.9286151;10.949556;-0.20074543;0.9173662;0.5563451;18.393751;-25.556252;-27.993752
1554;-1.1186446;2.0949163;10.103694;-0.04741838;1.0877974;0.6727148;18.13125;-25.593752;-27.88125
1564;-1.1210374;2.347359;9.412168;0.10407609;1.1943934;0.7637337;17.8875;-25.893751;-28.181252
1573;-1.166501;2.6225336;8.950353;0.23968807;1.2420408;0.81810063;18.28125;-25.725;-28.031252
1582;-1.2490535;2.9120653;8.739784;0.34536767;1.2173008;0.8373429;18.487501;-25.593752;-27.862501
1592;-1.3351951;3.1286156;8.656036;0.41195193;1.093906;0.8177952;18.28125;-25.575;-27.581251
1601;-1.3663018;3.3032916;8.708678;0.43577567;0.8758274;0.75854135;18.31875;-25.875002;-27.54375
1610;-1.3878372;3.4253256;8.894122;0.42019862;0.5920807;0.66019213;18.300001;-25.7625;-27.562502
1620;-1.4392828;3.377469;9.062816;0.37835437;0.2716821;0.5346594;18.112501;-25.81875;-27.50625
1629;-1.3519448;3.080759;9.038888;0.32184938;-0.047189303;0.39293876;18.2625;-25.85625;-27.656252
1638;-1.1653047;2.7349963;8.980264;0.26534438;-0.3092503;0.23838998;18.375;-25.781252;-27.6375
1648;-1.0013963;2.524428;8.8905325;0.21891867;-0.44913834;0.08872811;18.0;-25.931252;-27.337502
1657;-0.997807;2.382055;8.749356;0.18532111;-0.4650208;-0.025809037;17.94375;-25.781252;-27.525002
1667;-1.0456635;2.1870399;8.606983;0.16699515;-0.38133234;-0.08994984;18.056252;-25.781252;-27.187502
1676;-1.1856437;2.032703;8.459825;0.16424626;-0.23014331;-0.10613775;18.0375;-25.687502;-27.2625
1685;-1.3268201;1.9465612;8.288737;0.16424626;-0.058490302;-0.08872811;17.868752;-25.85625;-27.2625
1695;-1.4811572;1.9286151;8.128419;0.1627191;0.09300416;-0.048716467;17.94375;-25.781252;-27.187502
1704;-1.585245;1.9118652;7.9944205;0.15997021;0.20601414;4.581486E-4;17.5125;-26.1375;-27.075
1713;-1.6809579;1.9070797;7.8831544;0.14805835;0.26190826;0.045662142;17.2875;-26.362501;-26.775002
1723;-1.7300107;1.922633;7.7886376;0.13736822;0.26740605;0.08414663;17.23125;-26.437502;-26.831251
1732;-1.713261;1.9585253;7.7240314;0.12240203;0.2328922;0.114689864;17.118752;-26.475;-26.94375
1741;-1.6857436;2.0015962;7.68455;0.11232276;0.170584;0.14156792;16.931252;-26.737501;-27.13125
1751;-1.6378871;2.044667;7.62114;0.11323906;0.090560704;0.16814053;16.518751;-26.868752;-27.056252
1760;-1.599602;2.0697916;7.5720873;0.124234624;0.012675445;0.19257513;16.40625;-26.925001;-27.093752
1770;-1.5218352;2.111666;7.4943204;0.14530946;-0.051159926;0.20906848;16.21875;-26.94375;-27.150002
1779;-1.4751751;2.172683;7.4213395;0.17127122;-0.09483676;0.21517712;16.331251;-26.79375;-27.150002
1788;-1.4488541;2.2277179;7.3770723;0.19906557;-0.12079851;0.21273366;16.1625;-26.56875;-27.45
1798;-1.4249259;2.292324;7.367501;0.21891867;-0.13607013;0.20723587;16.0125;-26.625002;-27.73125
1807;-1.3794622;2.3353949;7.3579297;0.22747077;-0.1547015;0.2035707;15.637501;-26.906252;-27.618752
1816;-1.3519448;2.3952155;7.373483;0.22105668;-0.18493931;0.20173809;15.6;-26.643751;-27.937502
1826;-1.3316058;2.4765713;7.385447;0.20181446;-0.21914774;0.20326525;15.76875;-26.41875;-28.218752
1835;-1.2861422;2.5591238;7.4644103;0.17066035;-0.24877468;0.20387612;15.7875;-26.2875;-28.275002
1844;-1.2035898;2.6225336;7.539784;0.13125958;-0.26557347;0.20234896;15.806251;-26.2875;-28.500002
1854;-1.146162;2.6703901;7.661818;0.08605558;-0.27748534;0.19318599;15.675;-26.19375;-28.781252
1863;-1.038485;2.7672994;7.798209;0.035048366;-0.28206682;0.17516547;15.656251;-26.1;-28.66875
1873;-0.9415757;2.8666015;7.8987074;-0.020234896;-0.274431;0.15195261;15.58125;-25.9125;-28.85625
1882;-0.8709874;2.9336007;8.036295;-0.07704532;-0.24785839;0.12690715;15.8625;-25.556252;-28.95
1891;-0.84347;3.0005996;8.169097;-0.13752094;-0.20662501;0.101250835;15.88125;-25.2;-28.9125
